VendorID|Name|MailingAddress|MailingCity|MailingState/Prov|MailingCountry|MailingPostalCode|ShippingAddress|ShippingCity|ShippingState/Prov|ShippingCountry|ShippingCode|PhoneNumber|FaxNumber|EmailAddress|URL|Comments|
146|Interscience Publishers, Inc.|250 Fifth Ave|New York|NY|||||||||||||
147|Follett's Intellectual Property|2402 Guadalupe Street|Austin|TX||78705||||||(512)478-0007|||#http://intellectualpropertyaustin.com#||
148|Imperial College Press|57 Shelton Street|Covent Garden, London||UK|WC2H 9HE|||||||||||
149|Chemical Publishing Company, Inc||Brooklyn|NY|USA||||||||||||
150|Berkman Books|416 East Main Street|Fedricksburg|TX|USA|78624||||||(830)997-1535|||#http://www.berkmanbooks.com/#|Mon - Sat 10AM - 9PM|
151|12th Street Books|827 West 12th Street|Austin|TX|USA|78701||||||(512)499-8828|||#http://www.12thstreetbooks.com/#||
152|Half Price Books (Austin, TX)|5555 North Lamar|Austin|TX|USA|78751||||||(512)451-4463|||||
153|Little Hands of Concrete Productions|R.L.M. 15-308, University of Texas at Austin|Austin|TX||78712||||||||||This appears to be a private company of Tom Sebring and McDonald Observatory|
154|Alfred A. Knopf||||||||||||||#http://www.aaknopf.com/#|A division of Randon House Publishing|
155|Walker and Company|435 Hudson Street|New York|NY|USA|10014|||||||||||
156|Morris Publishing|3212 East Highway 30|Kearney|NE|USA|68847||||||(800)650-7888|||||
157|American Institute of Physics||||||||||||||||
158|Contemporary Book Inc.|180 North Michigan Ave|Chicago|IL|USA|60601|||||||||||
159|Viking Press, Inc.|625 Madison Ave|New York|NY|USA|10022|||||||||||
160|Half Price Books (Frisco, TX)||Frisco|TX||75034|||||||||||
161|Blackie & Son, Limited||||||||||||||||
162|National Academy Press||Washington|DC|||||||||||||
163|Edward Arnold Ltd||||||||||||||||
164|Fratelli Dumolard||Milan||Italy|||||||||||Dulmolard Brothers|
165|Griffin, Bohn, and Company|Stationer Hall Court|London|UK|||||||||||||
166|Taylor and Walton|29 Upper Gower Street|London||UK|||||||||||Booksellers and publishers to University College|
167|Royal Institution of Great Britain||||||||||||||||
168|Zeitlin & Ver Brugge||Los Angeles|CA|USA||||||||||||
169|Delacorte Press|666 Fifth Ave|New York|NY|USA|10103||||||||||A division of Bantan Double Day Dell Publishing group|
170|The SETI Institute and Press|2035 Landings Drive|Mountian View|CA|USA|94035|||||||||#http://www.seti.org/#||
171|Berkeley Hill Books|P.O. Box 9877|Berkeley|CA|USA|94709|||||||||||
172|Royal Society of Edinburgh||Edinburgh||Scotland||||||||||||
173|Insitute of Physics|Dirac House, Temple Back|Bristol||UK|BS1 6BE|||||||||||
174|Burndy Library||Norwalk|CT|USA||||||||||||
175|Wiedenfield & Nicolson|Orion House, 5 Upper Saint Martin's Lane|London||UK|WC2H 9EA|||||||||||
176|Harcourt, Brace and Company||||||||||||||||
177|Putnam||New York|NY|||||||||||||
178|Eyre & Spottiswoode|22 Heretta Street|London||UK|WC2|||||||||||
179|American Physical Society|335 East 45th Street|New York|NY|USA|10017-3483|||||||||||
180|American Journal of Science||||||||||||||||
181|Herbert S. Stone||Chicago|IL|||||||||||||
182|Hart Publishing Co.||New York|NY|||||||||||||
183|George Newnes Limited|Tower House, Southampton St|London||UK|W.C.2|||||||||||
184|University of Denver||Denver|CO|USA||||||||||||
